id,category,element_name,description,core_element,hl7_segment,required,cardinality,element_type,phin_vads_links,hl7_archive_processed_name,hl7_archive_processing_description,processing_rationale,column_length,repeating_field
1,calculated,Message ID (System Generated),The ID associated with the record in the Archive Raw table that maps to the Archive Processed (or Exceptions) table,N/A,N/A,N/A,N/A,N/A,NA,Message_ID,Populated from Mirth; this ID is copied from the Archive Raw table for the message associated with the record in Archive Processed or Archive Exceptions table.  This value will be globally unique such that any ID appears one and only one time within the Archive.,Allow linking between raw and processed archive tables.,bigint,No
2,calculated,"Record creation date/time (Arrival Time, pre-processing)",Date message arrived at the BioSense Platform (may differ from date record was created),N/A,N/A,N/A,N/A,N/A,NA,Arrived_Date_Time,Date the message arrived at the BioSense Platform and was picked up for scrubbing,Date the message arrived at the BioSense Platform and was picked up for scrubbing,datetime2,N/A
2,calculated,"Record creation date (Arrival Date, pre-processing)",Date message arrived at the BioSense Platform (may differ from date record was created),N/A,N/A,N/A,N/A,N/A,NA,Arrived_Date,Date portion of Arrived_Date_Time,Date the message arrived at the BioSense Platform and was picked up for scrubbing,date,N/A
2,calculated,"Record creation date/time (Arrival Time, pre-processing)",Date message arrived at the BioSense Platform (may differ from date record was created),N/A,N/A,N/A,N/A,N/A,NA,Str_Arrived_Date_Time,"Date the message arrived at the BioSense Platform and was picked up for scrubbing

Stored as a String in the database",Date the message arrived at the BioSense Platform and was picked up for scrubbing,varchar(24),N/A
3,calculated,Record creation date/time (Processed Table),Internal field that captures the date/time the record was written to the processed table in the BioSense Platform Archive,N/A,N/A,N/A,N/A,N/A,NA,Create_Processed_Date_Time,Populated with the date/time the record is first written into the Processed Table of the BioSense Platform Archive,System value to log record creation date/time,datetime2,N/A
4,calculated,Record creation date/time (Raw Table),Internal field that captures the date/time the record was written to the raw table in the BioSense Platform Archive,No,N/A,N/A,N/A,N/A,NA,Create_Raw_Date_Time,Populated with the date/time the record is first written into the Raw Table of the BioSense Platform Archive,System value to log record creation date/time,datetime2,N/A
5,calculated,Record updated date/time,Internal field that captures the date/time the record was last updated in the database,No,N/A,N/A,N/A,N/A,NA,Update_Processed_Date_Time,"If a message is reprocessed, this field should capture the reprocessing date/time.  Create_Date_Time should not change.",System value to log a date/time associated with the reprocessing of an existing message,datetime2,N/A
6,calculated,Feed Name,CDC Feed Name associated with message,No,N/A,N/A,N/A,N/A,NA,Feed_Name,"Mirth will set this value based on the feed associated with the incoming message.

* For data converted from the Legacy environment, 
     - if legacy record was sent by phinms feed, we will place ""phinms""
     - if this value is blank, we will place ""Legacy_Unknown""
 - if value is populated in legacy record, we will copy that value over",System value to identify the feed associated with the message for tracking/troubleshooting.,varchar(80),N/A
7,calculated,Channel Name,CDC Channel Name associated with message,No,N/A,N/A,N/A,N/A,NA,Channel_Name,Mirth will set this value,System value to identify the feed associated with the message for tracking/troubleshooting.,varchar(80),N/A
8,direct input,Sending Application,Application sending the message,No,MSH-3.1,N/A,[0.. 1],HD,NA,Sending_Application,"Direct input from HL7 message
MSH-3.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
9,direct input,Receiving Application,Application receiving the message,No,MSH-5.1,N/A,[0.. 1],HD,NA,Receiving_Application,"Direct input from HL7 message
MSH-5.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
10,direct input,Receiving Facility,Facility receiving the message,No,MSH-6.1,N/A,[0.. 1],HD,NA,Receiving_Facility,"Direct input from HL7 message
MSH-6.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
11,direct input,Message Type,Type of message being sent,No,MSH-9.1,N/A,[1.. 1],MSG,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.6049,Message_Type,"Direct input from HL7 message
MSH-9.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),No
12,direct input,Trigger Event,Event that triggers a message submission; why the message was created,No,MSH-9.2,N/A,[1.. 1],ID,NA,Trigger_Event,"Direct input from HL7 message
MSH-9.2","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),No
13,direct input,Message Structure,Structure of the message,No,MSH-9.3,N/A,[1.. 1],ID,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.6047,Message_Structure,"Direct input from HL7 message
MSH-9.3","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),No
14,direct input,Message Control ID,Number or other identifier that uniquely identifies the message,No,MSH-10.1,N/A,[1.. 1],ST,NA,Message_Control_ID,"Direct input from HL7 message
MSH-10.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(200),No
15,direct input,Processing ID,"Value that defines whether the message is part of a production, training, or debugging system",No,MSH-11.1,N/A,[1.. 1],PT,NA,Processing_ID,"Direct input from HL7 message
MSH-11.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Do not filter any incoming data on this value.",varchar(15),No
16,direct input,Version ID,Identifies the HL7 version,No,MSH-12.1,N/A,[1.. 1],VID,NA,Version_ID,"Direct input from HL7 message
MSH-12.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(15),No
17,direct input,Message Profile Identifier,"Sites use this field to assert adherence to, or reference, a message profile",No,MSH-21.1,N/A,[1.. 1],EI,NA,Message_Profile_ID,"Direct input from HL7 message
MSH-21.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(500),No
18,calculated,Row number,Row number associated with message; internally generated as system writes a record to the table,No,N/A,N/A,N/A,N/A,NA,Processed_ID,Auto generated as the record is written in to the database,System value to identify the feed associated with the message for tracking/troubleshooting.,bigint,N/A
NA,direct input,Legacy Row Number,The Row Number that was created in Legacy BioSense and is preserved,NA,NA,NA,NA,N/A,NA,Legacy_Row_Number,Legacy BioSense Row Number,Allows connections for migrated data between Legacy BioSense and Archive,bigint,No
NA,calculated,Legacy Flag,A binary flag that will identify a record on whether it was migrated from Legacy BioSense or ingested as part of Standard Procedure for the Archive,NA,NA,NA,NA,N/A,NA,Legacy_Flag,"Flag that identifies whether a record was migrated from Legacy BioSense or ingested as part of Standard Procedure for the Archive

Y = Record was ingested from Legacy",There is value in maintaining a Legacy Flag in ESSENCE to allow users to segregate legacy data from Archive data.,char(1),No
19,not ingested,Accept Acknowledgement Type,NA,NA,MSH-15,N/A,[0.. 1],ID,NA,NA,Not Ingested,Not Ingested,NA,No
20,not ingested,Application Acknowledgement Type,NA,NA,MSH-16,N/A,[0.. 1],ID,NA,NA,Not Ingested,Not Ingested,NA,No
21,calculated,Site ID,The site ID associated with the message,No,N/A,N/A,N/A,N/A,NA,Site_ID,This value will be assigned during processing based on the feed_name from the message.,System value to identify the site from which the message was sent.,varchar(80),N/A
22,direct input,Admit or Encounter Reason - Code,Short description of the provider's reason for admitting the patient - Code,Yes,"PV2-3.1, PV2-3.4",RE,[0.. 1],CE,NA,Admit_Reason_Code,"Direct input from HL7 message:
* PV2-3.1
* PV2-3.4

Select first non-null value","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
23,direct input,Admit or Encounter Reason - Description,Short description of the provider's reason for admitting the patient - Description,Yes,"PV2-3.2, PV2-3.5",RE,[0.. 1],CE,NA,Admit_Reason_Description,"Direct input from HL7 message:
* PV2-3.2
* PV2-3.5

Select first non-null value and concatenate if repeating","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3000),Yes
24,direct input,Admit or Encounter Reason - Segment,Short description of the provider's reason for admitting the patient - Segment,Yes,PV2-3,N/A,[0.. 1],CE,NA,Admit_Reason_Combo,"Store Admit_Reason_Code and Admit_Reason_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
24,direct input,Admit or Encounter Reason - Segment,Short description of the provider's reason for admitting the patient - Segment,Yes,PV2-3,N/A,[0.. 1],CE,NA,Admit_Reason_Segment,"Direct input from HL7 message
PV2-3

Concatenate repeating PV2-3 segments","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
25,conditional input,Chief Complaint/ Reason for Visit,Patient's self-reported chief complaint or reason for visit,Yes,"OBX-2, OBX-3, OBX-5.1",RE,[0.. *],CWE,NA,Chief_Complaint_Code,"OBX-5.1, OBX-5.4 segments where:
* OBX-3 Observation Identifier is 8661-1 and/or 11292-0
* OBX-2 = ""CWE"" or ""CW""

Select first non-null value and concatenate if repeating",The CWE Chief Complaint type is a legacy format of Chief Complaint. It is being included to capture legacy data feeds.,varchar(8000),Yes
